MDSS01.LC03PRMA.DG01070,Main Bearing 5 Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01071,LO Cooling Pump Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01072,LO Gallery Pump Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01073,Rotor ImbalanceEccentric,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01074,LOOSE FOUNDATION,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01075,Rotor Bars Broken,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01076,POWER CABLES DAMAGED,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01077,ELECTRICAL PROBLEM,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01078,HARMONIC DISTORTION,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01079,FO Pump Mistimed,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01080,CCV FILTER CLOGGEDDIRTY,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01081,LO CONDITION UNSATISFACTORY,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01082,PARTICLE CONTAMINATION,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01083,INSUFFICIENT OIL VISCOSITY,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01084,OIL OVERHEATED,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01085,H2O CONTENT HIGH,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01086,ADDITIVE PACKAGE DEPLETED,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01GPI1,GOVERNOR CONTROL FAILURE,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02001,L Turbocharger WornDirty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02002,R Turbocharger WornDirty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02003,L Intercooler SW Side Fouled,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02004,R Intercooler SW Side Fouled,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02005,L Intercooler Air Path Blocked,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02006,R Intercooler Air Path Blocked,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02007,L1 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02008,L2 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02009,L3 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02010,L4 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02011,R1 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02012,R2 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02013,R3 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02014,R4 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02015,L1 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02016,L2 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02017,L3 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02018,L4 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02019,R1 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02020,R2 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02021,R3 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02022,R4 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02031,L1 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02032,L2 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02033,L3 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02034,L4 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02035,R1 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02036,R2 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02037,R3 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02038,R4 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02039,L1 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02040,L2 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02041,L3 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02042,L4 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02043,R1 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02044,R2 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02045,R3 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02046,R4 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02047,L1 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02048,L2 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02049,L3 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02050,L4 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02051,R1 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02052,R2 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02053,R3 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02054,R4 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02055,L Side Improper Timing,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02056,R Side Improper Timing,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02057,JW Cooler FouledClogged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02058,DE Bearing Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG02059,NDE Bearing Worn,,,,,Shipboard BBNs
